Date,Asset,Calibration Date,Damage,Usage
8/16/2017,556-19-0411,3/20/2018,,6/21/2017
1/29/2017,824-22-6938,5/23/2018,,1/16/2017
9/25/2016,192-52-7109,5/3/2018,,5/28/2017
5/18/2017,695-94-8019,7/29/2017,,1/9/2017
3/23/2017,469-92-9088,5/2/2018,,8/18/2017
7/8/2017,588-25-0624,1/21/2018,,8/10/2017
9/19/2016,392-34-5222,3/19/2018,,1/21/2017
8/29/2016,856-81-9287,10/20/2017,,7/22/2017
4/15/2017,127-10-5306,9/13/2017,,1/28/2017
5/1/2017,110-50-1660,8/13/2018,,9/2/2016
6/8/2017,518-62-6145,7/8/2017,12/22/2016,1/26/2017
1/5/2017,319-41-5970,3/25/2018,,8/21/2017
9/17/2016,878-11-6234,8/13/2018,,9/27/2016
6/13/2017,547-55-2308,12/4/2017,,6/14/2017
10/27/2016,349-74-3023,1/3/2018,,9/8/2016
4/4/2017,732-08-2649,6/11/2018,,11/10/2016
10/17/2016,673-02-8633,11/20/2017,,11/17/2016
11/21/2016,358-44-5010,4/19/2018,,4/8/2017
12/13/2016,228-44-2212,5/14/2018,,4/13/2017
8/15/2017,414-60-9769,10/6/2017,,2/5/2017
10/11/2016,318-48-9740,8/1/2017,,5/11/2017
7/12/2017,504-99-0604,8/8/2018,,4/12/2017
5/16/2017,763-75-3547,12/2/2017,,6/3/2017
10/11/2016,768-01-6283,9/24/2017,,1/12/2017
9/24/2016,833-97-1801,8/5/2017,,7/4/2017
4/12/2017,610-99-6887,8/2/2017,,8/19/2017
2/7/2017,555-56-2777,10/6/2017,,9/13/2016
6/7/2017,158-48-3083,2/25/2018,,4/15/2017
4/24/2017,779-86-2402,7/16/2017,,3/28/2017
9/1/2016,585-71-6526,6/17/2018,,9/10/2016
9/20/2016,215-78-6478,5/10/2018,,11/11/2016
9/14/2016,293-41-6991,2/14/2018,,9/21/2016
6/7/2017,537-28-8490,9/27/2017,,12/28/2016
9/16/2016,538-34-0168,10/27/2017,,1/3/2017
7/24/2017,552-13-3159,4/19/2018,,2/8/2017
12/8/2016,140-53-2611,6/13/2018,,8/3/2017
3/16/2017,429-48-0169,7/30/2017,,5/1/2017
12/21/2016,475-66-1946,10/28/2017,,5/30/2017
7/16/2017,123-68-0387,7/28/2018,,8/4/2017
11/27/2016,396-78-6804,8/14/2017,,5/20/2017
10/30/2016,192-39-9640,9/8/2017,,10/25/2016
2/14/2017,577-45-0569,9/26/2017,,3/21/2017
